Dates,vader_score,roberta_score
2022-01-01,64,44
2022-01-02,88,46
2022-01-03,96,29
2022-01-04,80,37
2022-01-05,113,44
2022-01-06,76,-12
2022-01-07,59,1
2022-01-08,51,-14
2022-01-09,80,20
2022-01-10,74,16
2022-01-11,83,60
2022-01-12,95,65
2022-01-13,78,34
2022-01-14,81,41
2022-01-15,56,-3
2022-01-16,63,16
2022-01-17,54,1
2022-01-18,85,57
2022-01-19,58,22
2022-01-20,86,41
2022-01-21,71,-19
2022-01-22,63,-101
2022-01-23,83,-48
2022-01-24,85,20
2022-01-25,96,-24
2022-01-26,115,25
2022-01-27,66,3
2022-01-28,77,1
2022-01-29,64,20
2022-01-30,80,17
2022-01-31,61,23
2022-02-01,77,11
2022-02-02,67,21
2022-02-03,48,45
2022-02-04,87,13
2022-02-05,61,17
2022-02-06,71,22
2022-02-07,66,40
2022-02-08,57,22
2022-02-09,85,43
2022-02-10,96,29
2022-02-11,61,39
2022-02-12,43,9
2022-02-13,56,0
2022-02-14,71,32
2022-02-15,47,6
2022-02-16,49,26
2022-02-17,72,-11
2022-02-18,48,-16
2022-02-19,70,-8
2022-02-20,66,0
2022-02-21,73,-5
2022-02-22,48,-31
2022-02-23,52,-5
2022-02-24,21,-72
2022-02-25,54,4
2022-02-26,57,16
2022-02-27,67,-23
2022-02-28,55,-30
2022-03-01,57,7
2022-03-02,58,11
2022-03-03,47,10
2022-03-04,33,21
2022-03-05,41,24
2022-03-06,64,5
2022-03-07,36,-7
2022-03-08,68,21
2022-03-09,43,19
2022-03-10,56,42
2022-03-11,31,-11
2022-03-12,39,14
2022-03-13,47,4
2022-03-14,46,12
2022-03-15,41,16
2022-03-16,64,35
2022-03-17,74,47
2022-03-18,57,29
2022-03-19,33,21
2022-03-20,51,19
2022-03-21,75,29
2022-03-22,47,25
2022-03-23,58,8
2022-03-24,71,61
2022-03-25,57,38
2022-03-26,54,20
2022-03-27,60,17
2022-03-28,67,25
2022-03-29,48,12
2022-03-30,52,5
2022-03-31,69,7
2022-04-01,52,27
2022-04-02,63,50
2022-04-03,52,47
2022-04-04,67,46
2022-04-05,66,31
2022-04-06,52,23
2022-04-07,83,58
2022-04-08,69,16
2022-04-09,71,39
2022-04-10,37,14
2022-04-11,40,-8
2022-04-12,46,-10
2022-04-13,26,-11
2022-04-14,77,23
2022-04-15,37,22
2022-04-16,54,7
2022-04-17,72,45
2022-04-18,34,1
2022-04-19,80,46
2022-04-20,63,26
2022-04-21,48,15
2022-04-22,46,-11
2022-04-23,42,-5
2022-04-24,37,-4
2022-04-25,54,29
2022-04-26,52,50
2022-04-27,50,33
2022-04-28,62,35
2022-04-29,35,12
2022-04-30,37,16
2022-05-01,29,-12
2022-05-02,48,21
2022-05-03,50,22
2022-05-04,72,41
2022-05-05,41,0
2022-05-06,67,23
2022-05-07,43,15
2022-05-08,69,-9
2022-05-09,62,-4
2022-05-10,36,-14
2022-05-11,33,-49
2022-05-12,46,-69
2022-05-13,48,-4
2022-05-14,34,-8
2022-05-15,36,-13
2022-05-16,53,-7
2022-05-17,35,-9
2022-05-18,26,15
2022-05-19,63,24
2022-05-20,34,-6
2022-05-21,47,4
2022-05-22,59,19
2022-05-23,44,30
2022-05-24,30,13
2022-05-25,51,41
2022-05-26,53,7
2022-05-27,35,20
2022-05-28,36,12
2022-05-29,36,-13
2022-05-30,40,19
2022-05-31,41,10
2022-06-01,43,22
2022-06-02,36,20
2022-06-03,36,-23
2022-06-04,43,18
2022-06-05,51,27
2022-06-06,57,30
2022-06-07,59,21
2022-06-08,47,20
2022-06-09,43,19
2022-06-10,43,5
2022-06-11,17,2
2022-06-12,41,-2
2022-06-13,56,-112
2022-06-14,75,-61
2022-06-15,53,-27
2022-06-16,46,-9
2022-06-17,48,-12
2022-06-18,82,-85
2022-06-19,64,-44
2022-06-20,36,-15
2022-06-21,40,-4
2022-06-22,46,32
2022-06-23,62,17
2022-06-24,38,3
2022-06-25,25,1
2022-06-26,50,6
2022-06-27,41,7
2022-06-28,41,-19
2022-06-29,41,7
2022-06-30,31,-53
2022-07-01,40,-13
2022-07-02,52,-3
2022-07-03,42,-1
2022-07-04,46,14
2022-07-05,27,27
2022-07-06,42,-1
2022-07-07,46,28
2022-07-08,22,-1
2022-07-09,33,-4
2022-07-10,19,0
2022-07-11,38,-3
2022-07-12,82,17
2022-07-13,68,49
2022-07-14,57,34
2022-07-15,54,26
2022-07-16,53,-14
2022-07-17,52,23
2022-07-18,39,26
2022-07-19,42,16
2022-07-20,37,14
2022-07-21,50,-11
2022-07-22,31,-3
2022-07-23,15,-8
2022-07-24,20,4
2022-07-25,58,26
2022-07-26,42,18
2022-07-27,44,22
2022-07-28,50,25
2022-07-29,30,-14
2022-07-30,28,-3
2022-07-31,46,18
2022-08-01,35,-16
2022-08-02,24,17
2022-08-03,51,24
2022-08-04,57,19
2022-08-05,70,23
2022-08-06,31,4
2022-08-07,33,22
2022-08-08,46,27
2022-08-09,36,24
2022-08-10,32,16
2022-08-11,51,27
2022-08-12,30,13
2022-08-13,32,2
2022-08-14,37,1
2022-08-15,39,18
2022-08-16,46,7
2022-08-17,27,21
2022-08-18,38,17
2022-08-19,19,-5
2022-08-20,39,18
2022-08-21,50,22
2022-08-22,35,1
2022-08-23,31,14
2022-08-24,41,-1
2022-08-25,47,21
2022-08-26,50,9
2022-08-27,15,9
2022-08-28,24,16
2022-08-29,34,4
2022-08-30,41,4
2022-08-31,28,9
2022-09-01,29,-26
2022-09-02,18,10
2022-09-03,39,26
2022-09-04,17,14
2022-09-05,32,39
2022-09-06,44,20
2022-09-07,37,-9
2022-09-08,24,27
2022-09-09,24,6
2022-09-10,39,22
2022-09-11,34,36
2022-09-12,36,13
2022-09-13,35,3
2022-09-14,34,27
2022-09-15,24,23
2022-09-16,28,7
2022-09-17,31,-12
2022-09-18,27,17
2022-09-19,21,-8
2022-09-20,9,5
2022-09-21,26,33
2022-09-22,18,-9
2022-09-23,26,23
2022-09-24,25,11
2022-09-25,25,0
2022-09-26,32,23
2022-09-27,43,3
2022-09-28,29,-5
2022-09-29,37,18
2022-09-30,22,17
2022-10-01,25,14
2022-10-02,18,-22
2022-10-03,25,25
2022-10-04,39,41
2022-10-05,35,21
2022-10-06,29,28
2022-10-07,29,12
2022-10-08,21,7
2022-10-09,32,-2
2022-10-10,45,39
2022-10-11,24,23
2022-10-12,23,3
2022-10-13,30,14
2022-10-14,17,32
2022-10-15,33,14
2022-10-16,31,-7
2022-10-17,23,13
2022-10-18,44,16
2022-10-19,31,7
2022-10-20,32,-15
2022-10-21,21,-7
2022-10-22,30,13
2022-10-23,33,7
2022-10-24,29,34
2022-10-25,49,37
2022-10-26,22,11
2022-10-27,45,39
2022-10-28,31,17
2022-10-29,52,51
2022-10-30,-5,-14
2022-10-31,39,20
